model_id,perm_read,name,perm_unlink,perm_write,perm_create,group_id
Account,1,Account,1,1,1,Administration/Administrator
Account,1,Account,1,1,1,Salesman
Account,1,Account,1,1,1,Sale Manager
Account,1,Account,1,1,1,group2
Account,1,Account,1,1,1,group1
Account,1,Account,1,1,1,Product Manager
Account,1,Account,1,1,1,Workers
Account,1,Account,1,1,1,Production Manager
Account,1,Account,1,1,1,Users
Account,1,Account,1,1,1,Dpt Publications
Account,1,Account,1,1,1,Dpt Formations
Account,1,Account,1,1,1,Dpt Events
Account,1,Account,1,1,1,Direction
Account,1,Account,1,1,1,Commerciaux
Account,1,Account,1,1,1,Purchase Manager
Account,1,Account,1,1,1,Project Member
Account,1,Account,1,1,1,Project Manager
Account,1,Account,1,1,1,Financial Admin
Account,1,Account,1,1,1,Financial User
Account,1,Account,1,1,1,Financial Invoice
Account,1,Account,1,1,1,Customer Executive
Account,1,Account,1,1,1,Customer Executive - Manager
Account,1,Account,1,1,1,Employee
Account,1,Account,1,1,1,HR Manager
Account,1,Account,1,1,1,Product UOS View
Account,1,Account,1,1,1,No One
Account,1,Account,1,1,1,Extended View
Templates for Accounts,1,Templates for Accounts,1,1,1,Administration/Administrator
Templates for Accounts,1,Templates for Accounts,1,1,1,Salesman
Templates for Accounts,1,Templates for Accounts,1,1,1,Sale Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,group2
Templates for Accounts,1,Templates for Accounts,1,1,1,group1
Templates for Accounts,1,Templates for Accounts,1,1,1,Product Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Workers
Templates for Accounts,1,Templates for Accounts,1,1,1,Production Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Users
Templates for Accounts,1,Templates for Accounts,1,1,1,Dpt Publications
Templates for Accounts,1,Templates for Accounts,1,1,1,Dpt Formations
Templates for Accounts,1,Templates for Accounts,1,1,1,Dpt Events
Templates for Accounts,1,Templates for Accounts,1,1,1,Direction
Templates for Accounts,1,Templates for Accounts,1,1,1,Commerciaux
Templates for Accounts,1,Templates for Accounts,1,1,1,Purchase Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Project Member
Templates for Accounts,1,Templates for Accounts,1,1,1,Project Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Financial Admin
Templates for Accounts,1,Templates for Accounts,1,1,1,Financial User
Templates for Accounts,1,Templates for Accounts,1,1,1,Financial Invoice
Templates for Accounts,1,Templates for Accounts,1,1,1,Customer Executive
Templates for Accounts,1,Templates for Accounts,1,1,1,Customer Executive - Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Employee
Templates for Accounts,1,Templates for Accounts,1,1,1,HR Manager
Templates for Accounts,1,Templates for Accounts,1,1,1,Product UOS View
Templates for Accounts,1,Templates for Accounts,1,1,1,No One
Templates for Accounts,1,Templates for Accounts,1,1,1,Extended View
Account Type,1,Account Type,1,1,1,Salesman
Account Type,1,Account Type,1,1,1,Administration/Administrator
Account Type,1,Account Type,1,1,1,Extended View
Account Type,1,Account Type,1,1,1,No One
Account Type,1,Account Type,1,1,1,Product UOS View
Account Type,1,Account Type,1,1,1,HR Manager
Account Type,1,Account Type,1,1,1,Employee
Account Type,1,Account Type,1,1,1,Customer Executive - Manager
Account Type,1,Account Type,1,1,1,Customer Executive
Account Type,1,Account Type,1,1,1,Financial Invoice
Account Type,1,Account Type,1,1,1,Financial User
Account Type,1,Account Type,1,1,1,Financial Admin
Account Type,1,Account Type,1,1,1,Project Manager
Account Type,1,Account Type,1,1,1,Project Member
Account Type,1,Account Type,1,1,1,Purchase Manager
Account Type,1,Account Type,1,1,1,Commerciaux
Account Type,1,Account Type,1,1,1,Direction
Account Type,1,Account Type,1,1,1,Dpt Events
Account Type,1,Account Type,1,1,1,Dpt Formations
Account Type,1,Account Type,1,1,1,Dpt Publications
Account Type,1,Account Type,1,1,1,Users
Account Type,1,Account Type,1,1,1,Production Manager
Account Type,1,Account Type,1,1,1,Workers
Account Type,1,Account Type,1,1,1,Product Manager
Account Type,1,Account Type,1,1,1,group1
Account Type,1,Account Type,1,1,1,group2
Account Type,1,Account Type,1,1,1,Sale Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Administration/Administrator
Analytic Accounts,1,Analytic Accounts,1,1,1,Extended View
Analytic Accounts,1,Analytic Accounts,1,1,1,No One
Analytic Accounts,1,Analytic Accounts,1,1,1,Product UOS View
Analytic Accounts,1,Analytic Accounts,1,1,1,HR Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Employee
Analytic Accounts,1,Analytic Accounts,1,1,1,Customer Executive - Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Customer Executive
Analytic Accounts,1,Analytic Accounts,1,1,1,Financial Invoice
Analytic Accounts,1,Analytic Accounts,1,1,1,Financial User
Analytic Accounts,1,Analytic Accounts,1,1,1,Financial Admin
Analytic Accounts,1,Analytic Accounts,1,1,1,Project Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Project Member
Analytic Accounts,1,Analytic Accounts,1,1,1,Purchase Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Commerciaux
Analytic Accounts,1,Analytic Accounts,1,1,1,Direction
Analytic Accounts,1,Analytic Accounts,1,1,1,Dpt Events
Analytic Accounts,1,Analytic Accounts,1,1,1,Dpt Formations
Analytic Accounts,1,Analytic Accounts,1,1,1,Dpt Publications
Analytic Accounts,1,Analytic Accounts,1,1,1,Users
Analytic Accounts,1,Analytic Accounts,1,1,1,Production Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Workers
Analytic Accounts,1,Analytic Accounts,1,1,1,Product Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,group1
Analytic Accounts,1,Analytic Accounts,1,1,1,group2
Analytic Accounts,1,Analytic Accounts,1,1,1,Sale Manager
Analytic Accounts,1,Analytic Accounts,1,1,1,Salesman
account.analytic.journal,1,account.analytic.journal,1,1,1,Sale Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Administration/Administrator
account.analytic.journal,1,account.analytic.journal,1,1,1,Extended View
account.analytic.journal,1,account.analytic.journal,1,1,1,No One
account.analytic.journal,1,account.analytic.journal,1,1,1,Product UOS View
account.analytic.journal,1,account.analytic.journal,1,1,1,HR Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Employee
account.analytic.journal,1,account.analytic.journal,1,1,1,Customer Executive - Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Customer Executive
account.analytic.journal,1,account.analytic.journal,1,1,1,Financial Invoice
account.analytic.journal,1,account.analytic.journal,1,1,1,Financial User
account.analytic.journal,1,account.analytic.journal,1,1,1,Financial Admin
account.analytic.journal,1,account.analytic.journal,1,1,1,Project Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Project Member
account.analytic.journal,1,account.analytic.journal,1,1,1,Purchase Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Commerciaux
account.analytic.journal,1,account.analytic.journal,1,1,1,Direction
account.analytic.journal,1,account.analytic.journal,1,1,1,Dpt Events
account.analytic.journal,1,account.analytic.journal,1,1,1,Dpt Formations
account.analytic.journal,1,account.analytic.journal,1,1,1,Dpt Publications
account.analytic.journal,1,account.analytic.journal,1,1,1,Users
account.analytic.journal,1,account.analytic.journal,1,1,1,Production Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,Workers
account.analytic.journal,1,account.analytic.journal,1,1,1,Product Manager
account.analytic.journal,1,account.analytic.journal,1,1,1,group1
account.analytic.journal,1,account.analytic.journal,1,1,1,group2
account.analytic.journal,1,account.analytic.journal,1,1,1,Salesman
Analytic lines,1,Analytic lines,1,1,1,Project Manager
Analytic lines,1,Analytic lines,1,1,1,Administration/Administrator
Analytic lines,1,Analytic lines,1,1,1,Extended View
Analytic lines,1,Analytic lines,1,1,1,No One
Analytic lines,1,Analytic lines,1,1,1,Product UOS View
Analytic lines,1,Analytic lines,1,1,1,HR Manager
Analytic lines,1,Analytic lines,1,1,1,Employee
Analytic lines,1,Analytic lines,1,1,1,Customer Executive - Manager
Analytic lines,1,Analytic lines,1,1,1,Customer Executive
Analytic lines,1,Analytic lines,1,1,1,Financial Invoice
Analytic lines,1,Analytic lines,1,1,1,Financial User
Analytic lines,1,Analytic lines,1,1,1,Financial Admin
Analytic lines,1,Analytic lines,1,1,1,Project Member
Analytic lines,1,Analytic lines,1,1,1,Purchase Manager
Analytic lines,1,Analytic lines,1,1,1,Commerciaux
Analytic lines,1,Analytic lines,1,1,1,Direction
Analytic lines,1,Analytic lines,1,1,1,Dpt Events
Analytic lines,1,Analytic lines,1,1,1,Dpt Formations
Analytic lines,1,Analytic lines,1,1,1,Dpt Publications
Analytic lines,1,Analytic lines,1,1,1,Users
Analytic lines,1,Analytic lines,1,1,1,Production Manager
Analytic lines,1,Analytic lines,1,1,1,Workers
Analytic lines,1,Analytic lines,1,1,1,Product Manager
Analytic lines,1,Analytic lines,1,1,1,group1
Analytic lines,1,Analytic lines,1,1,1,group2
Analytic lines,1,Analytic lines,1,1,1,Sale Manager
Analytic lines,1,Analytic lines,1,1,1,Salesman
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Extended View
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Salesman
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Sale Manager
account.analytic.line.package,1,account.analytic.line.package,1,1,1,group2
account.analytic.line.package,1,account.analytic.line.package,1,1,1,group1
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Product Manager
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Workers
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Production Manager
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Users
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Dpt Publications
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Dpt Formations
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Dpt Events
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Administration/Administrator
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Direction
account.analytic.line.package,1,account.analytic.line.package,1,1,1,Commerciaux
