acquis|invoice_id|price|etude_id|state|last|income_account_id|first|date_creation|quantity
f|14268|11.00|669|invoiced|355435|66|355336|2005-11-30 11:19:56|100
f|14474|11.00|667|invoiced|362589|66|362490|2006-03-07 10:06:34|100
f|14527|11.00|719|invoiced|363421|66|363370|2006-03-23 15:03:07|52
f|14617|11.00|749|invoiced|366227|66|366028|2006-05-02 14:35:25|200
f|14791|11.00|726|invoiced|373641|66|373542|2006-08-16 15:58:51|100
f|14187|11.00|707|invoiced|351691|66|351672|2005-10-25 10:31:39|20
f|14880|11.00|717|invoiced|377297|66|377198|2006-09-15 11:51:24|100
f|14998|11.00|713|invoiced|380757|66|380698|2006-11-02 11:12:36|60
f|14270|11.00|701|invoiced|355595|66|355536|2005-11-30 11:33:49|60
f|15112|11.00|762|invoiced|386059|66|385860|2007-01-02 09:30:55|200
f|14476|11.00|764|invoiced|362889|66|362690|2006-03-07 12:08:44|200
f|15181|11.00|762|invoiced|389465|66|389266|2007-02-12 12:41:14|200
f|14528|11.00|696|invoiced|363821|66|363422|2006-03-23 16:08:23|400
f|15219|11.00|756|invoiced|390913|66|390814|2007-03-01 10:10:33|100
f|14618|11.00|720|invoiced|366279|66|366228|2006-05-02 14:42:15|52
f|14271|11.00|760|invoiced|355995|66|355596|2005-11-30 11:41:39|400
f|15314|11.00|751|invoiced|393941|66|393862|2007-04-12 11:34:19|80
f|15440|11.00|756|invoiced|398605|66|398506|2007-05-25 14:24:06|100
f|15519|11.00|756|invoiced|401157|66|401058|2007-06-25 10:56:30|100
f|15525|11.00|749|invoiced|401657|66|401458|2007-06-28 11:50:51|200
f|15558|11.00|756|invoiced|402737|66|402638|2007-08-16 11:15:13|100
f|15220|11.00|673|invoiced|390961|66|390914|2007-03-01 10:18:27|48
f|15559|11.00|748|invoiced|402937|66|402738|2007-08-16 12:11:32|200
f|14188|11.00|742|invoiced|351791|66|351692|2005-10-25 10:34:02|100
f|14269|11.00|744|invoiced|355535|66|355436|2005-11-30 11:20:38|100
f|14534|11.00|762|invoiced|364021|66|363822|2006-03-28 09:40:53|200
f|14619|11.00|761|invoiced|366359|66|366280|2006-05-04 11:28:16|80
f|14792|11.00|756|invoiced|373741|66|373642|2006-08-17 14:37:40|100
f|14894|11.00|754|invoiced|377497|66|377298|2006-09-20 12:06:02|200
f|14999|11.00|720|invoiced|380809|66|380758|2006-11-02 11:22:02|52
f|15182|11.00|696|invoiced|389865|66|389466|2007-02-12 13:26:58|400
f|15221|11.00|754|invoiced|391161|66|390962|2007-03-01 10:21:15|200
f|15315|11.00|712|invoiced|394041|66|393942|2007-04-12 12:04:57|100
f|14620|11.00|669|invoiced|366459|66|366360|2006-05-04 12:54:00|100
f|15448|11.00|732|invoiced|398805|66|398606|2007-05-29 13:39:44|200
f|14475|11.00|748|invoiced|362689|66|362590|2006-03-07 12:04:16|100
f|15526|11.00|761|invoiced|401737|66|401658|2007-06-28 12:07:27|80
f|15560|11.00|673|invoiced|403037|66|402938|2007-08-16 16:30:56|100
f|15000|11.00|756|invoiced|380909|66|380810|2006-11-02 11:29:56|100
f|15114|11.00|763|invoiced|386091|66|386060|2007-01-03 16:23:23|32
f||372.00|740|paid|0|66|0|1991-03-22 00:00:00|1
f|15243|11.00|745|invoiced|391201|66|391162|2007-03-08 10:40:21|40
f|14279|11.00|685|invoiced|356047|66|355996|2005-12-05 11:00:36|52
f|14486|11.00|694|invoiced|362989|66|362890|2006-03-09 15:37:07|100
f|14542|11.00|720|invoiced|364073|66|364022|2006-03-30 10:07:23|52
f|14621|11.00|678|invoiced|366759|66|366460|2006-05-04 13:36:48|300
f|14793|11.00|745|invoiced|373781|66|373742|2006-08-18 13:56:47|40
f|14901|11.00|744|invoiced|377597|66|377498|2006-09-21 13:04:04|100
f|15002|11.00|754|invoiced|381209|66|380910|2006-11-03 09:57:16|300
f|15115|11.00|678|invoiced|386391|66|386092|2007-01-04 08:38:52|300
f|15183|11.00|720|invoiced|389917|66|389866|2007-02-13 15:43:09|52
f|14546|11.00|701|invoiced|364833|66|364774|2006-03-30 10:35:51|60
f|15316|11.00|701|invoiced|394101|66|394042|2007-04-12 12:29:28|60
f|15460|11.00|678|invoiced|399205|66|398806|2007-06-01 08:30:39|400
f|14903|11.00|669|invoiced|377697|66|377598|2006-09-21 14:15:10|100
f|15550|11.00|714|invoiced|401837|66|401738|2007-07-04 16:39:17|100
f|15317|11.00|764|invoiced|394401|66|394102|2007-04-12 13:17:41|300
