"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CNATREGISTRYID,A,20","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDELAY,A,6","CCUSPAYDISC,N,8","CSUPPAYDISC,N,8","CCUSPDISCDEL,I,4","CSUPPDISCDEL,I,4","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","CMEMO,M,11","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","CINDEPPAYAMN,$,8","TREMEXT,A,40","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1"
********,C,U,CLIENTS DETRUITS,Service Comptabilité Fournisseurs,,,BE,,,F,0,,,,,,,N,,,0,0,,,0.000000,,,0.000000,,,,,,,,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,2004-03-16 11:15:57,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
1001,C,U,1001 CHOSES A FAIRE ASBL,Service Comptabilité Fournisseurs,RUE DES STEPPES 22,,BE4000,,LIEGE 1,F,0,,,,,BE,0425795059,,04/227.80.00,04/227.58.13,2,0,,,0.000000,,,0.000000,,,,,,,BE,,068203028505,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,,2004-07-26 12:41:06,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
1001LIST,C,U,1001 LISTES,Service Comptabilité Fournisseurs,PARADIS 1,,BE4920,,AYWAILLE HARZE,F,0,,,,,,,N,086/43.46.31,086/43.46.31,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,1,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,,0,0,0,1,1,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
100S,C,U,100 ' S DAS HITRADIO,Service Comptabilité Fournisseurs,KEURWEG 11,,BE4700,,EUPEN,F,0,,,,,,,X,,087/59.12.49,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
2LS,C,U,2LS,Service Comptabilité Fournisseurs,RUE DES SEMAILLES 35 BTE 4,,BE4400,,FLEMALLE,F,0,,,,,BE,0475351666,,04/253.22.06,04/222.36.69,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0475351666,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
2THIERS,C,U,2/3.COM,Florence DETHIER,RUE PIERRE HENVARD 99,,BE4053,,CHAUDFONTAINE EMBOURG,F,0,,,,,BE,0883995147,,0485/16.49.36,04/340.49.27,15,0,,,0.000000,,,0.000000,,,,,,,BE,,732694248047,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-08-22 00:00:00,1,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-02-05 10:29:31,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
3FARCHIT,C,U,3F ARCHITECTURE PFLIB,Service Comptabilité Fournisseurs,GRAND'ROUTE 592,,BE4400,,FLEMALLE,F,0,,,,,,,N,04/233.95.95,04/233.08.56,2,1,,,,,,,,,,,,,BE,,,,0,0,0,0,30,,,,,,,,,,,STD,,,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,SCHILS,2005-05-19 13:44:27,SCHILS,2008-08-04 16:09:01,A,000,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
3JCONSULT,U,S,3J CONSULT,,RUE DE CLAIRVAUX 8,,BE1348,,Louvain-la-Neuve,F,0,,,,,BE,0443219724,,010248759,010450053,15,4,,,,BSD,GD,21.000000,,,,,,,,BBRBBE,360096330096,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,,,,SCHILS,2007-05-24 09:20:04,SCHILS,2008-06-18 08:30:47,A,000,0443219724,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,,,,BE,Belgique,0,,0,
4ALL,C,U,AGENCE 4 ALL,Service Comptabilité Fournisseurs,RUE DES MERCIERS 5BIS,,BE1300,,WAVRE,F,0,,,,,BE,0464449163,,010/24.24.45,010/24.23.99,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2004-11-18 11:52:16,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
4ASSUR,C,U,4 ASSUR,Service Comptabilité Fournisseurs,"AVENUE DE LA COOPÉRATION, 14",,BE4630,,SOUMAGNE,F,0,,,,,,,N,04/377.07.67,02/250.84.42,3,0,,,0.000000,,,0.000000,,,,,,,BE,,068241357649,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-10-17 09:56:22,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
4MEUROPE,C,U,4M EUROPE SA,Service Comptabilité Fournisseurs,ZI DE BATTICE HERVE-COUR LEMAIRE 11,,BE4651,,HERVE BATTICE,F,0,,,,,BE,0464339592,,087/69.35.35,087/69.35.30,148,0,,,0.000000,,,0.000000,,,,,,,BE,,634280000171,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-07-25 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0464339592,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
5SUR5,C,U,CINQ SUR CINQ-MEDIA AGENCY,Service Comptabilité Fournisseurs,RUE DE RABOSEE 70,,BE4020,,LIEGE WANDRE,F,0,,,,,BE,0598488218,,,,13,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-10-03 16:57:40,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
99999999,C,U,COMPTE D'ATTENTE ORDINATEUR,,,,BE,,,F,0,,,,,,,N,,,0,0,,,0.000000,,,0.000000,,,,,,,,BBRBBE,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
A4C,C,U,A4C SPRL,Service Comptabilité Fournisseurs,POUILLOU FOURNEAU 23,,BE4910,,THEUX,F,0,,,,,BE,0476595048,,087/26.96.76,087/26.96.77,58,0,,,0.000000,,,0.000000,,,,,,,BE,,068237387218,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-01-30 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:01,M,,0476595048,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AAA'S,C,U,AAA'S HOLDING,Service Comptabilité Fournisseurs,AVE MAJOR BOVY 2,,BE4651,,HERVE BATTICE,F,0,,,,,BE,0877978276,,0485/70.09.00,,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-01-11 08:32:57,SCHILS,2008-08-04 16:09:01,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AB&COT,C,U,ADMISSION BOURSIÈRE & COTATION SPRL,Service Comptabilité Fournisseurs,"PLACE DU CHAMP DE MARS, 5-BASTION TOWERS",,BE1050,,BRUXELLES,F,0,,,,,BE,0428917370,,02/649.68.36,02/351.50.52,2,0,,,0.000000,,,0.000000,,,,,,,BE,,734018589047,,0,1,0,0,,,0.000000,0.000000,0,0,,,,2007-01-30 00:00:00,2,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-10-18 08:56:41,SCHILS,2008-08-04 16:09:01,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
