"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CMEMO,M,11","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDISC,N,8","CSUPPDISCDEL,I,4","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","CNATREGISTRYID,A,20","CSUPPAYDELAY,A,6","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CCUSPDISCDEL,I,4","CCUSPAYDISC,N,8","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","XUSRGETEMPL,N,8","XUSRGETTO,$,8","XUSRGETINTERES,A,10","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","XUSRCONTACT,A,10","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CINDEPPAYAMN,$,8","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1","TREMEXT,A,40"
ACE,C,S,ACE SA,,Avenue Louise 222 bis,,BE1050,,Brussel,F,,001,001,001,,BE,0432112630,,02/758.25.69,02/458.21.69,,33,11,V,V,21.000000,,,,400000,,700000,600000,,,,240054429633,,,,0,0,30,3.000000,1,,,,,2003-09-08 00:00:00,1,001,,,2003-09-12 09:46:00,2003-09-12 09:46:00,BOB,,60*,,,,1,2,BBL,,,1,000000002323,10,2.000000,,,info@ace.be,www.ace.be,,,,ADMIN,2008-07-04 10:36:35,M,,,,,0432112630,0,,,,,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgiqueu,0,,,0,,
ADDELHAIZE,U,S,AD DELHAIZE,,OSSEGHEMSTRAAT 53,,BE1080,,BRUSSEL,N,,,002,,,BE,0402206045,,024122111,024122194,,1,15,,,,MD,HG,21.000000,,,,601000,,,,000000001212,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,30,,0,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402206045,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ADIDAS,U,S,Adidas,,,,BE,,,F,0,,001,,,,,,,,,1,1,,,,MD,HG,21.000000,,,,601000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2004-12-01 14:05:05,ADMIN,2008-06-30 12:00:44,A,000,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,0,,,,,,,BE,Belgique,0,,,0,,
ADV,U,U,ADV S.A.S.,,"VIA ROMA, 1",,IT20024,,GARBAGNATE (MILANO),F,,003,,,,IT,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,IT,Italie,0,,,0,,
AGF,C,S,ASSURANCES SA,,"Rue du Parchemin, 85",,BE4000,,Liège,E,0,,002,,,,,,,,,1,3,,,,,,,,440000,,613100,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,2,0,BBL,1,FACTOR,0,,,,,,,,,BOB,2003-09-17 12:11:36,ADMIN,2008-06-30 12:00:44,A,,,,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
AGFA,C,S,AGFA GEVAERT NV,,SEPTESTRAAT 27,,BE2640,,MORTSEL,N,,,,001,,BE,0404021727,,034442111,034447094,,9,9,,,,,,,,,700000,610000,,,,240054429633,,,,,,30,4.000000,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,30,,,,,,,,,,,,,,,sales@agfa.be,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404021727,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
AGIO,U,S,AGIO SIGARENFABRIEKEN NV,,ANTWERPSEWEG 87,,BE2440,,GEEL,N,,,002,,,BE,0404220180,,014590579,014590157,,1,7,,,,,,,,,,600000,,,,000000002626,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,0,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404220180,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
AIGREMONT,U,U,AIGREMONT SA,,RUE DES AWIRS 10,,BE4400,,AWIRS,F,,003,,,,BE,0437799008,,042759211,042754931,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0437799008,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
ALTRIPAN,C,U,ALTRIPAN NV,,LUITHAGEN HAVEN 19,,BE2000,,Antwerpen,N,,,,001,,BE,0406393475,,035426160,035420402,,11,1,,,,,,,,,700000,,,,,240054429633,,,,,,60*,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,1,000000001212,,3.000000,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0406393475,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ALZ,U,S,ALZ NV,,GENK-ZUID - ZONE 6 A,,BE3600,,GENK,N,,,002,,,BE,0401277914,,089301910,089301909,,1,4,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0401277914,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
AMYLUM,U,U,AMYLUM NV,,BURCHTSTRAAT 10,,BE9300,,AALST,N,,003,,,,BE,0405716158,,053733333,053733033,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0405716158,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
ARBO,C,U,ARBO,,ilôt du chateau,Bureau 35,L 4444,,Luxembourg,F,,,,002,,LU,12121212,,00352/959786,,,5,1,,,,,,,,,700000,,,,,,,,,,,30,,,,,,,,,,,,2003-09-12 09:46:01,2003-09-12 09:46:01,BOB,,,,,,,,,,,,,,,,,,,,,,SUPERV,2003-10-16 11:44:08,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,,,0,,,0,,
