"AID,A,10","AISTITLE,L,1","HEADING1,A,40","HEADING2,A,40","ACAT,A,3","AINTCAT,A,10","ACATCOMM,A,1","ADBCD,A,1","AISCOST,L,1","AVATTYPE,A,1","AVATENAT1,A,3","AVATENAT2,A,3","AVATECMP,N,8","AVATNNAT1,A,3","AVATNNAT2,A,3","AVATNCMP,N,8","AVATINAT1,A,3","AVATINAT2,A,3","AVATICMP,N,8","AISSUMMARY,L,1","AISSTATUS,L,1","AISREADONL,L,1","AISSECRET,L,1","VTRAVFA,L,1","AISMATCH,L,1","HISINTRASTAT,L,1","AMATCHNO,I,4","ABALANCE,A,10","AREM,A,35","ABOFFDEB,A,10","ABOFFCRED,A,10","ABINTDEB,A,10","ABINTCRED,A,10","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","AVATCAS,L,1","AMEMO,M,11","COST_DEPART,A,5","COSTRDEPART,L,1","ASECONDID,A,10","AFREE,A,40","DEPACC,A,10","PROVACC,A,10","PRCNDCHARGES,N,8","PRCPRIVATE,N,8","ACCTSECONDID,L,1","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","COSTRPERS,L,1","COST_PERS,A,6","COSTRMAGASIN,L,1","COST_MAGASIN,A,10","TYPENDCHARGES,A,3","AFIXTYPE,A,10","ASLEEPING,L,1","DISCADVNOT,L,1"
1,1,"Fonds propres, prov. & dettes + d'1an","EV, voorz. risico's / kost / schulden >",,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,ADMIN,2008-07-07 11:58:09,M,,0,,0,,,,0,0
10,1,Capital,Kapitaal,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
100,1,Capital souscrit,Geplaatst kapitaal,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
100000,0,Capital non amorti,Niet-afgelost kapitaal,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
100100,0,Capital amorti (-),Afgelost kapitaal (-),,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
101,1,Capital non appelé (-),Niet-opgevraagd kapitaal (-),,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
101000,0,Capital non appelé (-),Niet-opgevraagd kapitaal (-),,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
109,1,Compte de l'exploitant,Rekening van de uitbater,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
109000,0,Compte de l'exploitant - Op. courantes,Rekening van de uitbater - Rekening cour,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
109100,0,Compte de l'exploitant - Impôts pers.,Rekening van de uitbater - Personenbelas,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
109200,0,Compte de l'exploitant - Rémun. & autres,Rekening van de uitbater - Vergoedingen,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
11,1,Primes d'émission,Uitgiftepremies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
110000,0,Primes d'émission,Uitgiftepremies,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
12,1,Plus-values de réévaluation,Herwaarderingsmeerwaarden,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
120,1,Plus-values de rééval. sur immob. Incorp,Herwaarderingsmeerw. op imm.vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
120000,0,Plus-values de rééval. sur immob. Incorp,Herwaarderingsmeerw. op imm.vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
120100,0,Reprises de réd. de val. sur immob. Inc.,Terugnem.Afchr. Op Waardevermin. imm. va,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
121,1,Plus-values de rééval. sur immob. Corp.,Herwaarderingsmeerw. op mat. vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
121000,0,Plus-values de rééval. sur immob. Corp.,Herwaarderingsmeerw. op mat. vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
121100,0,Reprises de réd. de val. sur immob. Corp,Terugnem.afschr. imm. vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
122,1,Plus-values de rééval. sur immob. Fin.,Herwaarderingsmeerw. op fin. vaste activ,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
122000,0,Plus-values de rééval. sur immob. Fin.,Herwaarderingsmeerw. op fin. vaste activ,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
122100,0,Reprises de réd. de val. sur immob. Fin.,Terugnem.waardevermin op fin. vaste act.,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
123,1,Plus-values de réévaluation sur stocks,Herwaarderingsmeerw. op voorraden,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
123000,0,Plus-values de réévaluation sur stocks,Herwaarderingsmeerw. op voorraden,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
124,1,Reprises de réd. de val./plac. de très.,Terugnem. waardevermin. op geldbelegging,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,,LIABILIT,,,,,,2000-03-18 14:59:48,2000-03-18 14:59:48,BOB,0,,,0,,,,,,,0,,,BOB,2005-03-08 14:58:03,M,,0,,0,,,,0,0
