"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEPART,A,5","CONVCLASS,A,1","INTUSE1,I,4","COST_PER,A,6","COST_PERS,A,6","COST_MAGASIN,A,10"
100000,DI0,2002,0,20020001,1,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,-30986.690000,,,,,,,,,O,,0,,,,,,,
100000,DI0,2003,0,20030001,1,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-30986.690000,,,,,,,,,O,,0,,,,,,,
100000,DI0,2004,0,20040001,1,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,-30986.690000,,,,,,,,,O,,0,,,,,,,
100000,DI0,2005,0,20050001,1,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,-30986.690000,,,,,,,,,O,,0,,,,,,,
100000,DI2,2001,1,20010003,1,PRI,2001,,2001-01-01,2001-01-01,,-30986.690000,BEF,-1250000.000000,,,,,,,,,0,,,,,,,
101000,DI0,2002,0,20020001,2,PRI,2002,,2002-01-01,2002-01-01,Ouverture Automatique,6197.340000,,,,,,,,,O,,0,,,,,,,
101000,DI0,2003,0,20030001,2,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,6197.340000,,,,,,,,,O,,0,,,,,,,
101000,DI0,2004,0,20040001,2,PRI,2004,,2004-01-01,2004-01-01,Ouverture Automatique,6197.340000,,,,,,,,,O,,0,,,,,,,
101000,DI0,2005,0,20050001,2,PRI,2005,,2005-01-01,2005-01-01,Ouverture Automatique,6197.340000,,,,,,,,,O,,0,,,,,,,
101000,DI2,2001,1,20010003,2,PRI,2001,,2001-01-01,2001-01-01,,6197.340000,BEF,250000.000000,,,,,,,,,0,,,,,,,
130000,DI0,2003,0,20030001,3,PRI,2003,,2003-01-01,2003-01-01,Ouverture Automatique,-25808.900000,,,,,,,,,O,,0,,,,,,,
