"FYEAR,A,5","YEAR,I,4","MONTH,I,4","STATUS,A,1","ISDEFAULT,L,1","LABEL,A,8","ISCTRLPRINT,L,1","ORIGIN,A,1","CURLEVEL,I,4","SALCLOSED,L,1","PURCLOSED,L,1","CASCLOSED,L,1","PRICLOSED,L,1","CONVERSION,A,1","FXACTIVE,L,1","FXCLOSED,L,1","FXDEPCALC,L,1","FXPRIGEN,L,1","FXNEW,L,1","FXMOD,L,1","FXMODIFYDATE,@,8","FXDEPDATE,@,8","FXPRIDATE,@,8"
2004,2004,0,O,0,**/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,1,O,0,01/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,2,O,0,02/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,3,O,0,03/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,4,O,0,04/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,5,O,0,05/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,6,O,0,06/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,7,O,0,07/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,8,O,0,08/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,9,O,0,09/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,10,O,0,10/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,11,O,0,11/2004,,,,1,1,1,0,,,,,,,,,,
2004,2004,12,O,0,12/2004,,,,1,1,1,0,,,,,,,,,,
2005,2005,0,O,0,**/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,1,O,0,01/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,2,O,0,02/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,3,O,0,03/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,4,O,0,04/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,5,O,0,05/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,6,O,0,06/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,7,O,0,07/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,8,O,0,08/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,9,O,0,09/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,10,O,0,10/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,11,O,0,11/2005,,,,1,1,1,0,,,,,,,,,,
2005,2005,12,O,0,12/2005,,,,1,1,1,0,,,,,,,,,,
2006,2006,0,O,0,**/2006,,,,1,1,1,0,,,1,1,0,1,0,2007-03-02 10:15:16,2007-03-02 10:15:16,
2006,2006,1,O,1,01/2006,,,,1,1,1,0,,,1,0,0,0,0,,2006-06-09 14:45:52,
2006,2006,2,O,0,02/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,3,O,0,03/2006,,,,1,1,1,0,,,1,0,0,0,0,,2007-02-26 15:04:16,
2006,2006,4,O,0,04/2006,,,,1,1,1,0,,,1,0,0,0,0,,2006-06-09 14:34:59,
2006,2006,5,O,0,05/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,6,O,0,06/2006,,,,1,1,1,0,,,1,0,0,0,0,,2007-02-26 15:04:13,
2006,2006,7,O,0,07/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,8,O,0,08/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,9,O,0,09/2006,,,,1,1,1,0,,,1,0,0,0,0,,2007-02-26 15:04:09,
2006,2006,10,O,0,10/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,11,O,0,11/2006,,,,1,1,1,0,,,1,0,0,0,0,,,
2006,2006,12,O,0,12/2006,,,,1,1,1,0,,,1,1,0,0,0,,2007-06-07 12:12:54,
2007,2007,0,O,0,**/2007,,,,1,1,1,0,,,1,1,0,1,0,2007-06-07 12:14:19,2007-06-07 12:14:19,
2007,2007,1,O,0,01/2007,,,,1,1,1,0,,,0,0,1,0,0,,2007-02-19 13:41:28,2008-01-22 11:29:32
