"DBID,A,4","HEADING1,A,30","HEADING2,A,30","DBACCOUNT,A,10","DBPERN,A,8","DBPERN_1,A,8","DBPERN_2,A,8","DBNODOCN,I,4","DBNODOCN_1,I,4","DBNODOCN_2,I,4","DBDOCCOUNT,I,4","DBDEFYEAR,A,5","DBTYPE,A,3","DBCASCTROL,A,1","DBISUNPOST,L,1","ISWITHVAT,L,1","ISWITHCUR,L,1","DBCURRENCY,A,3","DBDISCOST,A,10","DBDISPROFI,A,10","DBCHACOST,A,10","DBCHAPROFI,A,10","DBINTCOST,A,10","DBINTPROFI,A,10","DBDIFCOST,A,10","DBDIFPROFI,A,10","DBPNLCOST,A,10","DBPNLPROFI,A,10","DBBNKCOST,A,10","DBVATCOST,A,10","DBBEGAMN,$,8","DBENDAMN,$,8","DBVATTYPE,A,1","DBVATNAT1,A,3","DBVATNAT2,A,3","DBVATCMP,N,8","DBMEMO,M,11","DBNKNAME,A,40","DBNKBNKCODE,A,8","DBNKBNKNO,A,20","DBNKQUALIF,A,8","DBNKPAYDBK,A,4","DBNKDOMDBK,A,4","DBNKPAYACC,A,10","DBNKDOMACC,A,10","DBNKINTHEAD,N,8","DBNKINTTRAIL,N,8","DBNKDSKPTH,A,250","DBNKCODAPTH,A,250","DBNKCREDITLIM,$,8","ISIMPORT,L,1","PRIALLOWED,L,1","ISVISIBLE,L,1","ISACTIVE,L,1","ISSHARED,L,1","EXTERNALTYPE,A,10","DBNKIDENTIF,A,16","DBNKINSTFIN,A,3","ISVATI,L,1","NBCONNECT,I,4","ISECOMMERCE,L,1","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","WAREHOUSE,A,5","DBKLINK,A,4","LAYOUT,A,5","LAYOUT2,A,5","LAYOUT3,A,5","LAYOUT4,A,5","LAYOUT5,A,5","LAYOUT6,A,5","NBPRINT,I,4","NBPRINT2,I,4","NBPRINT3,I,4","NBPRINT4,I,4","NBPRINT5,I,4","NBPRINT6,I,4","SHAPECOLOR,I,4","SHAPEWIDTH,I,4","SHAPESTYLE,I,4","SHAPEPENCOLOR,I,4","SHAPEPOS,A,1","SHAPETEXT,A,60","SHAPETEXTALIGN,A,1","SHAPEFNAME,A,30","SHAPEFSIZE,I,4","SHAPEFCOLOR,I,4","SHAPEFBOLD,L,1","SHAPEFITALIC,L,1","SHAPEFUNDERLINE,L,1","SHAPEFSTRIKEOUT,L,1","LAYOUT1,A,5","NBPRINT1,I,4","ONEMORELAYOUT,L,1","ISCASHIER,L,1","CASCUSTID,A,12","CASPRCLIST,A,10","CASPAYMODE1,A,10","CASPAYMODE2,A,10","CASPAYMODE3,A,10","CASDBKTICKET,A,4","CASDBKSAL,A,4","CASDBKIDN,A,4","CASLAYTICKET,A,5","CASLAYSAL,A,5","CASLAYIDN,A,5","CASWAREH,A,5","DEFHEADMSG,A,10","DISCADV,L,1"
ACH,JOURNAL DES ACHATS,JOURNAL DES ACHATS,,07/2008,12/2007,12/2006,1285,2261,2164,0,2008,PUR,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
AMOR,AMORTISSEMENTS,,,03/2008,12/2007,12/2006,2,14,17,0,2007,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
CBC,CBC BANQUE,,550200,07/2008,12/2007,**/2006,91,83,1,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,26044.240000,26044.240000,N,BSD,GD,21.000000,,CHAMBRE DE COMMERCE DE LIEGE ET VERVIERS,,732013883276,,,,,,,,,G:\DATA\Bob\LV\Codas\ING\,,0,0,1,1,0,,,732,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
CBCO,CBC OPTIMUM,,550201,04/2008,**/2007,**/2006,3,1,1,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,150393.430000,150393.430000,N,BSD,GD,21.000000,,CHAMBRE DE COMMERCE DE LIEGE ET VERVIERS,,732014951589,,FIN,,550201,,0.000000,,,,,0,0,1,1,0,,,732,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
CCC,CAISSE CHANTALE COOL,CAISSE CHANTALE COOL,570000,07/2008,12/2007,12/2006,6061,5744,5128,0,2008,CAS,C,0,1,1,,,,,,,,,,,,,,1132.120000,1132.120000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
CCP,CCP,CCP,562000,07/2008,12/2007,12/2006,12,24,25,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,35223.490000,35223.490000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,000325284547,,,,,,,,G:\DATA\SGBDR\TRUS\VIREMENTS\,G:\DATA\BOB\LV\CODAS\CCP\,,0,0,1,1,0,,,000,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
CLO,OPERATIONS  DIVERSES CLOTURE,,,06/2008,12/2007,12/2006,14,148,72,0,2008,PRI,A,0,1,1,,,,,,,,,,,,,,,,,,,0.000000,,CHAMBRE DE COMMERCE DE LIEGE ET VERVIERS,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,0
CPS,CAISSE PATRICIA SCHILS,CAISSE PATRICIA SCHILS,573000,07/2008,11/2007,12/2006,3417,3220,2880,0,2008,CAS,C,0,1,1,,,,,,,,,,,,,,2660.150000,2660.150000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
CSH,CAISSE SOPHIE HOHLSTAMM,CAISSE SOPHIE HOHLSTAMM,571000,07/2008,12/2007,12/2006,755,700,551,0,2008,CAS,C,0,1,1,,,,,,,,,,,,,,402.910000,402.910000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,,,,,,,,,,,,0,0,1,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
FEDE,FORTIS FEDER,FORTIS FEDER,550110,08/2008,12/2007,12/2006,51,85,112,0,2008,CAS,A,0,1,1,,,,,,,,,,,,,,35970.060000,35970.060000,N,BSD,GD,21.000000,,Chambre de Commerce de Liège,,001417275282,,,,,,,,G:\DATA\SGBDR\TRUS\VIREMENTS\,G:\DATA\BOB\LV\CODAS\FORTIS FEDER\,,0,0,1,1,0,,,001,0,,0,,,,,,,,,,,,,,,,,,,,-2147483633,0,1,0,L,,C,Microsoft Sans Serif,8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0
