id,name,bid_id:id,lot_id:id,price,call
bid_line7,,auction_db.bid4,auction_db.lot_unknown,15,f
bid_line8,,auction_db.bid5,auction_db.lot_unknown,50,f
bid_line9,,auction_db.bid5,auction_db.lot_unknown,10,f
bid_line10,,auction_db.bid6,auction_db.lot_unknown,50,f
bid_line16,,auction_db.bid8,auction_db.lot_unknown,30,f
bid_line17,,auction_db.bid8,auction_db.lot_unknown,100,f
bid_line18,,auction_db.bid9,auction_db.lot_unknown,200,f
bid_line19,,auction_db.bid9,auction_db.lot_unknown,40,f
bid_line20,,auction_db.bid9,auction_db.lot_unknown,25,f
bid_line21,,auction_db.bid10,auction_db.lot_unknown,70,f
bid_line22,,auction_db.bid11,auction_db.lot_unknown,,t
bid_line23,,auction_db.bid11,auction_db.lot_unknown,,t
bid_line24,,auction_db.bid11,auction_db.lot_unknown,30,f
bid_line25,,auction_db.bid11,auction_db.lot_unknown,40,f
bid_line26,,auction_db.bid11,auction_db.lot_unknown,12,f
bid_line27,,auction_db.bid12,auction_db.lot_unknown,100,f
bid_line28,,auction_db.bid13,auction_db.lot_unknown,150,f
bid_line29,,auction_db.bid13,auction_db.lot_unknown,240,f
bid_line30,,auction_db.bid13,auction_db.lot_unknown,100,f
bid_line31,,auction_db.bid13,auction_db.lot_unknown,20,f
bid_line32,,auction_db.bid13,auction_db.lot_unknown,80,f
bid_line33,,auction_db.bid13,auction_db.lot_unknown,150,f
bid_line34,,auction_db.bid13,auction_db.lot_unknown,30,f
bid_line35,,auction_db.bid14,auction_db.lot_unknown,25,f
bid_line36,,auction_db.bid14,auction_db.lot_unknown,15,f
bid_line37,,auction_db.bid15,auction_db.lot_unknown,25,f
bid_line38,,auction_db.bid15,auction_db.lot_unknown,35,f
bid_line39,,auction_db.bid15,auction_db.lot_unknown,20,f
bid_line40,,auction_db.bid15,auction_db.lot_unknown,20,f
bid_line42,,auction_db.bid15,auction_db.lot_unknown,30,f
bid_line43,,auction_db.bid15,auction_db.lot_unknown,20,f
bid_line44,,auction_db.bid15,auction_db.lot_unknown,40,f
bid_line45,,auction_db.bid15,auction_db.lot_unknown,50,f
bid_line46,,auction_db.bid15,auction_db.lot_unknown,250,f
bid_line47,,auction_db.bid16,auction_db.lot_unknown,70,f
bid_line48,,auction_db.bid18,auction_db.lot_unknown,15,f
