id,name,date_dep,partner_id:id,method,tax_id:id,total_neg
deposit27628,28178,2006-03-15,auction_db.partner1341,keep,,f
deposit27614,27863,2006-03-13,auction_db.partner3717,keep,,f
deposit29321,29921,2007-05-30,auction_db.partner3819,keep,,f
deposit27528,28082,2006-03-01,auction_db.partner359,keep,,f
deposit27976,28538,2006-06-13,auction_db.partner974,keep,,f
deposit26953,27546,2005-10-10,auction_db.partner3024,keep,,f
deposit27526,28050,2006-03-01,auction_db.partner936,keep,,f
deposit27626,28174,2006-03-15,auction_db.partner684,keep,,f
deposit27202,27776,2005-11-30,auction_db.partner1972,keep,,f
deposit27990,28568,2006-06-20,auction_db.partner4245,keep,,f
deposit26959,27464,2005-10-11,auction_db.partner3028,keep,,f
deposit27203,27780,2005-12-01,auction_db.partner2926,keep,,f
deposit26963,27520,2005-10-12,auction_db.partner2146,keep,,f
deposit26961,27504,2005-10-11,auction_db.partner2831,keep,,f
deposit26957,27307,2005-10-10,auction_db.partner3026,keep,,f
deposit26960,27552,2005-10-11,auction_db.partner3030,keep,,f
deposit27527,28072,2006-03-01,auction_db.partner1166,keep,,f
deposit27619,26665,2006-03-13,auction_db.partner3811,keep,,f
deposit27978,11111,2006-06-14,auction_db.partner4237,keep,,f
deposit27453,28011,2006-02-14,auction_db.partner3715,keep,,f
deposit27975,28539,2006-06-13,auction_db.partner4234,keep,,f
deposit27615,27654,2006-03-13,auction_db.partner2671,keep,,f
deposit29364,29993,2007-06-12,auction_db.partner453,keep,,f
deposit27206,27781,2005-12-01,auction_db.partner2860,keep,,f
deposit27985,28521,2006-06-19,auction_db.partner3717,keep,,f
deposit26851,27445,2005-09-22,auction_db.partner453,keep,,f
deposit27530,28051,2006-03-01,auction_db.partner3795,keep,,f
deposit26968,27562,2005-10-12,auction_db.partner544,keep,,f
deposit26974,27522,2005-10-13,auction_db.partner2420,keep,auction_db.tax5,f
deposit27475,28078,2006-02-20,auction_db.partner3730,keep,,f
deposit26852,27449,2005-09-23,auction_db.partner2893,keep,,f
deposit27208,27788,2005-12-01,auction_db.partner2831,keep,,f
deposit27633,28203,2006-03-16,auction_db.partner3856,keep,auction_db.tax5,f
deposit27622,28177,2006-03-14,auction_db.partner3851,keep,,f
deposit27467,28067,2006-02-17,auction_db.partner3525,keep,,f
deposit27458,27806,2006-02-16,auction_db.partner3721,keep,,f
deposit27207,27687,2005-12-01,auction_db.partner1362,keep,,f
deposit27463,28061,2006-02-16,auction_db.partner3724,keep,,f
deposit27455,27912,2006-02-15,auction_db.partner3717,keep,,f
deposit26967,27509,2005-10-12,auction_db.partner3034,keep,,f
deposit26962,27394,2005-10-11,auction_db.partner1228,keep,,f
deposit27470,28069,2006-02-17,auction_db.partner1152,keep,,f
deposit26853,27377,2005-09-23,auction_db.partner658,keep,,f
deposit27457,28055,2006-02-15,auction_db.partner3719,keep,,f
deposit1099,25864,2004-06-18,auction_db.partner232,contact,,t
deposit27634,28207,2006-03-17,auction_db.partner3857,keep,auction_db.tax5,f
deposit27456,27867,2006-02-15,auction_db.partner459,keep,,f
deposit28000,28565,2006-06-21,auction_db.partner1972,keep,,f
deposit28001,28389,2006-06-21,auction_db.partner3863,keep,,f
deposit27461,27978,2006-02-16,auction_db.partner3175,keep,,f
deposit27997,28570,2006-06-21,auction_db.partner4247,keep,,f
deposit26855,27451,2005-09-23,auction_db.partner2375,keep,,f
deposit27532,27942,2006-03-02,auction_db.partner459,keep,,f
deposit27462,28042,2006-02-16,auction_db.partner3723,keep,,f
deposit27211,27790,2005-12-02,auction_db.partner3330,keep,,f
deposit27635,28209,2006-03-17,auction_db.partner3858,keep,,f
deposit366,25628,2004-04-23,auction_db.partner314,contact,,t
deposit26856,27448,2005-09-23,auction_db.partner221,keep,,f
deposit26857,27438,2005-09-23,auction_db.partner2895,keep,,f
deposit27492,27949,2006-02-21,auction_db.partner3421,keep,auction_db.tax5,f
deposit26858,27446,2005-09-23,auction_db.partner2896,keep,,f
deposit27534,22297,2006-03-02,auction_db.partner3800,keep,auction_db.tax5,f
deposit26859,27365,2005-09-23,auction_db.partner2897,keep,,f
deposit27459,28060,2006-02-16,auction_db.partner242,keep,,f
deposit26977,27567,2005-10-18,auction_db.partner974,keep,,f
deposit27465,27997,2006-02-16,auction_db.partner3725,keep,auction_db.tax5,f
deposit25836,26429,2004-12-01,auction_db.partner1360,contact,,t
deposit26579,27160,2005-06-03,auction_db.partner2492,keep,auction_db.tax5,t
deposit27212,27490,2005-12-02,auction_db.partner3331,keep,,f
deposit27533,28118,2006-03-02,auction_db.partner3798,keep,,f
deposit27213,27598,2005-12-02,auction_db.partner3332,keep,,f
deposit25884,26419,2004-12-15,auction_db.partner_unknown,contact,,t
deposit27996,28571,2006-06-21,auction_db.partner3858,keep,,f
deposit29323,29940,2007-05-30,auction_db.partner8524,keep,,f
deposit29365,29992,2007-06-12,auction_db.partner8587,keep,,f
