lang,website,name,comment,category_id:id,domiciliation_bool,domiciliation,ref,id,vat
fr_FR,www.ace.be,ACE SA,,"base.res_partner_category_8,base.res_partner_category_0",1,000000002323,ACE,ACE SA,0432112630
nl_NL,,AD DELHAIZE,,base.res_partner_category_8,,,ADDELHAIZE,AD DELHAIZE,0402206045
fr_FR,,Adidas,,base.res_partner_category_8,,,ADIDAS,Adidas,
fr_FR,,ADV S.A.S.,,,,,ADV,ADV SAS,
en_US,,ASSURANCES SA,,"base.res_partner_category_8,base.res_partner_category_0",,,AGF,ASSURANCES SA,
nl_NL,,AGFA GEVAERT NV,,"base.res_partner_category_8,base.res_partner_category_0",,,AGFA,AGFA GEVAERT NV,0404021727
nl_NL,,AGIO SIGARENFABRIEKEN NV,,base.res_partner_category_8,,,AGIO,AGIO SIGARENFABRIEKEN NV,0404220180
fr_FR,,AIGREMONT SA,,,,,AIGREMONT,AIGREMONT SA,0437799008
nl_NL,,ALTRIPAN NV,,base.res_partner_category_0,1,000000001212,ALTRIPAN,ALTRIPAN NV,0406393475
nl_NL,,ALZ NV,,base.res_partner_category_8,,,ALZ,ALZ NV,0401277914
nl_NL,,AMYLUM NV,,,,,AMYLUM,AMYLUM NV,0405716158
fr_FR,,ARBO,,base.res_partner_category_0,,,ARBO,ARBO,12121212
,,ARIA,,base.res_partner_category_8,,,ARIA,ARIA,
nl_NL,,ARJO WIGGINS BELGIUM,,,,,ARJO_WIGG,ARJO WIGGINS BELGIUM,0400344734
fr_FR,,ARTHAUD AUDE,,"base.res_partner_category_8,base.res_partner_category_0",,,ARTHAUD,ARTHAUD AUDE,45454444444
,,ARTHUR ANDERSEN & CO,,base.res_partner_category_8,,,ARTHURAN,ARTHUR ANDERSEN & CO,
fr_FR,,ARTHUR ANDERSEN & Co,,,,,ARTHURLU,ARTHUR ANDERSEN & Co,
nl_NL,,ASMA-BORGERS CV,,base.res_partner_category_0,,,ASMA,ASMA-BORGERS CV,0404753482
fr_FR,,ASSOCIATION LIEGEOISE D'ELECTRICITE - A.,,base.res_partner_category_8,,,ASSOCIATIO,ASSOCIATION LIEGEOISE D'ELECTRICITE - A,0204245277
fr_FR,,EDITIONS RENCONTRE ATLAS S.A.,,"base.res_partner_category_8,base.res_partner_category_0",,,ATLASED1,EDITIONS RENCONTRE ATLAS SA,
en_US,,Atun Med. Geraete & Elektronik,,"base.res_partner_category_8,base.res_partner_category_0",,,ATUNMED,Atun Med Geraete & Elektronik,154545454555
nl_NL,,AUSTRIAN AIRLINES SOET,,base.res_partner_category_8,,,AUSTRIANAS,AUSTRIAN AIRLINES SOET,0403421317
fr_FR,,L'AUXILIAIRE MINIÔRE SA,,,,,AUX_MIN,L'AUXILIAIRE MINIÔRE SA,0404225823
nl_NL,,B A S F ANTWERPEN,,base.res_partner_category_0,,,BASF,B A S F ANTWERPEN,0404754472
