city,fax,zip,partner_id:id,phone,street,country_id:id,type
Brussel,02/458.21.69,BE1050,ACE SA,02/758.25.69,Avenue Louise 222 bis,,default
BRUSSEL,024122194,BE1080,AD DELHAIZE,024122111,OSSEGHEMSTRAAT 53,,default
,,BE,Adidas,,,,default
GARBAGNATE (MILANO),,IT20024,ADV SAS,,"VIA ROMA, 1",,default
Liège,,BE4000,ASSURANCES SA,,"Rue du Parchemin, 85",,default
MORTSEL,034447094,BE2640,AGFA GEVAERT NV,034442111,SEPTESTRAAT 27,,default
GEEL,014590157,BE2440,AGIO SIGARENFABRIEKEN NV,014590579,ANTWERPSEWEG 87,,default
AWIRS,042754931,BE4400,AIGREMONT SA,042759211,RUE DES AWIRS 10,,default
Antwerpen,035420402,BE2000,ALTRIPAN NV,035426160,LUITHAGEN HAVEN 19,,default
GENK,089301909,BE3600,ALZ NV,089301910,GENK-ZUID - ZONE 6 A,,default
AALST,053733033,BE9300,AMYLUM NV,053733333,BURCHTSTRAAT 10,,default
Luxembourg,,L 4444,ARBO,00352/959786,ilôt du chateau,,default
LUXEMBOURG,,LU1150,ARIA,00352/44.88.38,"ROUTE D'ARLON, 72",,default
NIVELLES,067211133,BE1400,ARJO WIGGINS BELGIUM,067281211,LES HEURES-CLAIRES,,default
Metz,,FR57000,ARTHAUD AUDE,0033/87/691277,"Rue Auguste Prest, 6",,default
IRVINE CALIFORNIE,,CA92715,ARTHUR ANDERSEN & CO,(714)757 3100,VON KARMAN AVENUE 18500,,default
Luxembourg,,LU2180,ARTHUR ANDERSEN & Co,00352422233,6 RUE JEAN MONET,,default
DEURNE,033243660,BE2100,ASMA-BORGERS CV,033267575,BELCROWNLAAN 13,,default
LIÔGE,042201200,BE4000,ASSOCIATION LIEGEOISE D'ELECTRICITE - A,042201501,RUE LOUVREX 95,,default
Lausanne,,CH 45177,EDITIONS RENCONTRE ATLAS SA,021 37 38 41,"Chemin d'Entre-Bois, 31",,default
Cologne 21,,DE45447,Atun Med Geraete & Elektronik,0049221881350,Deutz-Kalker-Strasse 132,,default
