"id","factor_id:id","item_id:id"
1,"F1","item_openerp"
2,"F429","item_openerp"
3,"F2","item_openerp"
4,"F3","item_openerp"
5,"F4","item_openerp"
6,"F5","item_openerp"
7,"F6","item_openerp"
8,"F7","item_openerp"
9,"F8","item_openerp"
10,"F9","item_openerp"
11,"F10","item_openerp"
12,"F11","item_openerp"
13,"F12","item_openerp"
14,"F13","item_openerp"
15,"F14","item_openerp"
16,"F15","item_openerp"
17,"F16","item_openerp"
18,"F17","item_openerp"
19,"F18","item_openerp"
20,"F19","item_openerp"
21,"F20","item_openerp"
22,"F21","item_openerp"
23,"F22","item_openerp"
24,"F23","item_openerp"
25,"F24","item_openerp"
26,"F25","item_openerp"
27,"F26","item_openerp"
28,"F27","item_openerp"
29,"F28","item_openerp"
30,"F29","item_openerp"
31,"F30","item_openerp"
32,"F31","item_openerp"
33,"F32","item_openerp"
34,"F33","item_openerp"
35,"F34","item_openerp"
36,"F35","item_openerp"
37,"F36","item_openerp"
38,"F37","item_openerp"
39,"F38","item_openerp"
40,"F39","item_openerp"
41,"F40","item_openerp"
42,"F41","item_openerp"
43,"F42","item_openerp"
44,"F43","item_openerp"
45,"F44","item_openerp"
46,"F45","item_openerp"
47,"F46","item_openerp"
48,"F47","item_openerp"
49,"F48","item_openerp"
50,"F49","item_openerp"
51,"F50","item_openerp"
52,"F51","item_openerp"
53,"F52","item_openerp"
54,"F53","item_openerp"
55,"F54","item_openerp"
56,"F55","item_openerp"
57,"F56","item_openerp"
58,"F57","item_openerp"
59,"F58","item_openerp"
60,"F59","item_openerp"
61,"F60","item_openerp"
62,"F61","item_openerp"
63,"F62","item_openerp"
64,"F63","item_openerp"
65,"F64","item_openerp"
66,"F65","item_openerp"
67,"F66","item_openerp"
68,"F67","item_openerp"
69,"F68","item_openerp"
70,"F69","item_openerp"
71,"F70","item_openerp"
72,"F71","item_openerp"
73,"F72","item_openerp"
74,"F73","item_openerp"
75,"F74","item_openerp"
76,"F75","item_openerp"
77,"F76","item_openerp"
78,"F77","item_openerp"
79,"F78","item_openerp"
80,"F79","item_openerp"
81,"F80","item_openerp"
82,"F81","item_openerp"
83,"F82","item_openerp"
84,"F83","item_openerp"
85,"F84","item_openerp"
86,"F85","item_openerp"
87,"F86","item_openerp"
88,"F87","item_openerp"
89,"F88","item_openerp"
90,"F89","item_openerp"
91,"F90","item_openerp"
92,"F91","item_openerp"
93,"F92","item_openerp"
94,"F93","item_openerp"
95,"F94","item_openerp"
96,"F95","item_openerp"
97,"F96","item_openerp"
98,"F97","item_openerp"
99,"F98","item_openerp"
100,"F99","item_openerp"
101,"F100","item_openerp"
102,"F101","item_openerp"
103,"F102","item_openerp"
104,"F103","item_openerp"
105,"F104","item_openerp"
106,"F105","item_openerp"
107,"F106","item_openerp"
108,"F107","item_openerp"
109,"F108","item_openerp"
110,"F109","item_openerp"
111,"F110","item_openerp"
112,"F111","item_openerp"
113,"F112","item_openerp"
114,"F113","item_openerp"
115,"F114","item_openerp"
116,"F115","item_openerp"
117,"F116","item_openerp"
118,"F117","item_openerp"
119,"F118","item_openerp"
120,"F119","item_openerp"
121,"F120","item_openerp"
122,"F121","item_openerp"
123,"F122","item_openerp"
124,"F123","item_openerp"
125,"F124","item_openerp"
126,"F125","item_openerp"
127,"F126","item_openerp"
128,"F127","item_openerp"
129,"F128","item_openerp"
130,"F129","item_openerp"
131,"F130","item_openerp"
132,"F131","item_openerp"
133,"F132","item_openerp"
134,"F133","item_openerp"
135,"F134","item_openerp"
136,"F135","item_openerp"
137,"F136","item_openerp"
138,"F137","item_openerp"
139,"F138","item_openerp"
140,"F139","item_openerp"
141,"F140","item_openerp"
142,"F141","item_openerp"
143,"F142","item_openerp"
144,"F143","item_openerp"
145,"F144","item_openerp"
146,"F145","item_openerp"
147,"F146","item_openerp"
148,"F147","item_openerp"
149,"F148","item_openerp"
150,"F149","item_openerp"
151,"F150","item_openerp"
152,"F151","item_openerp"
153,"F152","item_openerp"
154,"F153","item_openerp"
