"id","item_id:id","factor_id:id","score_id:id","user_id:id"
1,"item_openbravo","F884","vote_na","user_raymond"
2,"item_openbravo","F883","vote_na","user_raymond"
3,"item_openbravo","F885","vote_na","user_raymond"
4,"item_openbravo","F886","vote_na","user_raymond"
5,"item_openbravo","F898","vote_na","user_raymond"
6,"item_openbravo","F899","vote_excel","user_raymond"
7,"item_openbravo","F900","vote_excel","user_raymond"
8,"item_openbravo","F901","vote_na","user_raymond"
9,"item_openbravo","F902","vote_na","user_raymond"
10,"item_openbravo","F903","vote_excel","user_raymond"
11,"item_openbravo","F904","vote_excel","user_raymond"
12,"item_openbravo","F895","vote_excel","user_raymond"
13,"item_openbravo","F896","vote_excel","user_raymond"
14,"item_openbravo","F261","vote_excel","user_raymond"
15,"item_openbravo","F262","vote_excel","user_raymond"
16,"item_openbravo","F263","vote_excel","user_raymond"
17,"item_openbravo","F264","vote_na","user_raymond"
18,"item_openbravo","F265","vote_excel","user_raymond"
19,"item_openbravo","F267","vote_excel","user_raymond"
20,"item_openbravo","F268","vote_excel","user_raymond"
21,"item_openbravo","F872","vote_excel","user_raymond"
22,"item_openbravo","F871","vote_excel","user_raymond"
23,"item_openbravo","F874","vote_excel","user_raymond"
24,"item_openbravo","F873","vote_na","user_raymond"
25,"item_openbravo","F879","vote_excel","user_raymond"
26,"item_openbravo","F881","vote_excel","user_raymond"
27,"item_openbravo","F878","vote_na","user_raymond"
28,"item_openbravo","F877","vote_na","user_raymond"
29,"item_openbravo","F876","vote_excel","user_raymond"
30,"item_openbravo","F880","vote_excel","user_raymond"
31,"item_openbravo","F909","vote_excel","user_raymond"
32,"item_openbravo","F908","vote_na","user_raymond"
33,"item_openbravo","F906","vote_excel","user_raymond"
34,"item_openbravo","F907","vote_na","user_raymond"
35,"item_openbravo","F846","vote_na","user_raymond"
36,"item_openbravo","F845","vote_excel","user_raymond"
37,"item_openbravo","F844","vote_excel","user_raymond"
38,"item_openbravo","F848","vote_na","user_raymond"
39,"item_openbravo","F847","vote_excel","user_raymond"
40,"item_openbravo","F843","vote_excel","user_raymond"
41,"item_openbravo","F842","vote_excel","user_raymond"
42,"item_openbravo","F849","vote_na","user_raymond"
43,"item_openbravo","F850","vote_na","user_raymond"
44,"item_openbravo","F851","vote_na","user_raymond"
45,"item_openbravo","F852","vote_na","user_raymond"
46,"item_openbravo","F857","vote_na","user_raymond"
47,"item_openbravo","F853","vote_excel","user_raymond"
48,"item_openbravo","F855","vote_excel","user_raymond"
49,"item_openbravo","F856","vote_na","user_raymond"
50,"item_openbravo","F858","vote_excel","user_raymond"
51,"item_openbravo","F854","vote_excel","user_raymond"
52,"item_openbravo","F859","vote_excel","user_raymond"
53,"item_openbravo","F862","vote_excel","user_raymond"
54,"item_openbravo","F861","vote_excel","user_raymond"
55,"item_openbravo","F860","vote_excel","user_raymond"
56,"item_openbravo","F867","vote_excel","user_raymond"
57,"item_openbravo","F866","vote_excel","user_raymond"
58,"item_openbravo","F865","vote_excel","user_raymond"
59,"item_openbravo","F864","vote_na","user_raymond"
60,"item_openbravo","F869","vote_na","user_raymond"
61,"item_openbravo","F868","vote_excel","user_raymond"
62,"item_openbravo","F893","vote_excel","user_raymond"
63,"item_openbravo","F888","vote_excel","user_raymond"
64,"item_openbravo","F889","vote_na","user_raymond"
65,"item_openbravo","F890","vote_excel","user_raymond"
66,"item_openbravo","F891","vote_excel","user_raymond"
67,"item_openbravo","F892","vote_excel","user_raymond"
68,"item_openbravo","F708","vote_na","user_raymond"
69,"item_openbravo","F706","vote_excel","user_raymond"
70,"item_openbravo","F707","vote_excel","user_raymond"
71,"item_openbravo","F709","vote_na","user_raymond"
72,"item_openbravo","F639","vote_excel","user_raymond"
73,"item_openbravo","F640","vote_excel","user_raymond"
74,"item_openbravo","F643","vote_excel","user_raymond"
75,"item_openbravo","F642","vote_excel","user_raymond"
76,"item_openbravo","F641","vote_na","user_raymond"
77,"item_openbravo","F654","vote_excel","user_raymond"
78,"item_openbravo","F656","vote_na","user_raymond"
79,"item_openbravo","F655","vote_na","user_raymond"
80,"item_openbravo","F653","vote_na","user_raymond"
81,"item_openbravo","F632","vote_excel","user_raymond"
82,"item_openbravo","F633","vote_excel","user_raymond"
83,"item_openbravo","F634","vote_na","user_raymond"
84,"item_openbravo","F635","vote_excel","user_raymond"
85,"item_openbravo","F636","vote_na","user_raymond"
86,"item_openbravo","F637","vote_excel","user_raymond"
