"id","parent_id:id","name","type","sequence"
"F1",,"Features & Business Applications","view",0
"F429",,"Productivity, Ergonomy & Ease of Use","view",2
"F2","F1","After-Sales Services","view",10
"F3","F2","Repairs management","view",1
"F4","F3","Manages reception of defect products and deliveries ","criterion",1
"F5","F3","Manages reparation in the warehouse","criterion",1
"F6","F3","Manages repairs at customer location","criterion",1
"F7","F3","Automatic invoicing of raw materials and products","criterion",1
"F8","F3","Automatic invoicing of services or hours spent on repairs","criterion",1
"F9","F3","Traceability of all operations on the lot","criterion",1
"F10","F2","Waranties Management","view",1
"F11","F10","Waranties limit computation based on lots","criterion",1
"F12","F10","Automatic re-invoicing of products/services based on waranties","criterion",1
"F13","F2","Claims Management","view",1
"F14","F13","Integrates customers claims management","criterion",1
"F15","F13","Integrates suppliers claims management","criterion",1
"F16","F13","Support for corrective and preventive actions","criterion",1
"F17","F13","Traceability of the discussion and actions on the claim","criterion",1
"F18","F13","Attach claims to lots, products and partners","criterion",1
"F19","F13","Support for attached documents describing the problem","criterion",1
"F20","F2","Quality Management","view",1
"F21","F20","Integration of the quality manual","criterion",1
"F22","F20","Visual integration of company processes as graphs","criterion",1
"F23","F20","Support for corrective and preventive actions","criterion",1
"F24","F20","Support for alerts and warnings based on customizable criterions","criterion",1
"F25","F1","Manufacturing Management","view",6
"F26","F25","MRP I Features","view",1
"F27","F26","Multi-Level Bill of Materials support","criterion",1
"F28","F26","Make-to-Stock / Make-to-Order support","criterion",1
"F29","F26","Support for sales packs","criterion",1
"F30","F26","Support of substition of bill of materials","criterion",1
"F31","F26","Support for products of substitution","criterion",1
"F32","F26","Stock forecasts","criterion",1
"F949","F25","Batch Process","view",1
"F950","F949","Free batch format","criterion",1
"F951","F949","Define substitutes for parts of process","criterion",1
"F952","F949","Batch analysis for economical production","criterion",1
"F953","F949","Adjustment batches for region / country","criterion",1
"F954","F949","Batch Size and underlying ingredients can be adjusted","criterion",1
"F955","F949","Defining Down anticipated life","criterion",1
"F956","F25","Plant Maintance ","view",1
"F957","F956","create Maintainance order","criterion",1
"F958","F956","Preventive and breakdown maintainance","criterion",1
"F959","F25","Quality","view",1
"F960","F959","Management of defective material","criterion",1
"F961","F959","Quality in point per record in process","criterion",1
"F33","F25","MRP II Features","view",1
"F34","F33","Master Production Schedule","criterion",1
"F35","F33","Support for simulations of procurements","criterion",1
"F36","F25","Products Flexibility","view",1
"F37","F36","Multi-variants supports in product and BoM","criterion",1
"F38","F36","Multi unit of measures for the same product","criterion",1
"F39","F36","Product configurator in sales orders","criterion",1
"F40","F36","Product configurator in manufacturing orders","criterion",1
"F41","F25","Best-Practices","view",1
"F42","F41","Just-in-Time Support","criterion",1
"F43","F41","Bar code support on products and lots","criterion",1
"F44","F41","Bar code support for operations","criterion",1
"F45","F41","Kanban support with stock level computation per location","criterion",1
"F46","F41","Central point of management for all exceptions","criterion",1
"F47","F41","Management of assembly lines per location","criterion",1
"F48","F41","Real time detection of bottle necks","criterion",1
"F49","F25","Flexibility","view",1
"F50","F49","Ability to easily cancel any scheduled operation","criterion",1
"F51","F49","Ability to change all operations: product's quantities, routings, ...","criterion",1
"F52","F49","Reorganisation of proposed manufacturing orders and work orders","criterion",1
"F53","F49","Multiple plants management","criterion",1
"F54","F25","Lots management","view",1
"F55","F54","Bar code support for lots","criterion",1
"F56","F54","Lots on palets/boxes","criterion",1
"F57","F54","Lots number on manufactured products or raw materials","criterion",1
"F58","F54","Alerts and visibility on lots availability","criterion",1
"F59","F25","Reporting","view",1
"F60","F59","Margins analysis on sales, products, manufacuting orders and affairs","criterion",1
"F61","F59","Dynamic graphs on workcenter usage","criterion",1
"F62","F59","Dynamic graphs on products and stock evolution","criterion",1
"F63","F59","Dynamic graphs on stocks forecasts","criterion",1
"F64","F25","Integration","view",1
"F65","F64","Manufacuring simulations in quotations or sales orders","criterion",1
"F66","F64","Sub-contracting of work orders management","criterion",1
