type,name,res_id,src,value
model,"ir.actions.act_window,name",personal_base.action_account_entry_form_form,New Account Entry,Naujas sąskaitos įrašas
model,"ir.actions.act_window,name",personal_base.action_account_entries_list,Account Entries,Sąskaitų įrašai
model,"ir.actions.act_window,name",personal_base.action_confirmed_account_entries_list,Confirmed Account Entries,Patvirtinti sąskaitų įrašai
model,"ir.actions.act_window,name",personal_base.action_draft_account_entries_list,Draft Account Entries,Sąskaitų įrašų juodraščiai
model,"ir.actions.act_window,name",personal_base.action_confirmed_account_lines_list,Confirmed Account Lines,Patvirtintos sąskaitų eilutės
model,"ir.actions.act_window,name",personal_base.action_account_form,Accounts,Sąskaitos
model,"ir.actions.act_window,name",personal_base.action_account_tree,Chart of Accounts,Sąskaitų planas
model,"ir.actions.act_window,name",personal_base.action_account_type_form,Account Types,Sąskaitų tipai
model,"ir.actions.act_window,name",personal_base.action_personal_base_action_login_list,Actions After Login,Įvykiai po prisijungimo
model,"ir.actions.wizard,name",personal_base.wizard_open_line_entry_id,Open Line Entry,Atviros sąskaitų eilutės
model,"ir.actions.wizard,name",personal_base.wizard_open_line_entry,Open Line Entry,Atviros sąskaitų eilutės
model,"ir.actions.wizard,name",personal_base.wizard_create_account_types,Create Account Types,Sukurti sąskaitų tipus
model,"ir.ui.menu,name",personal_base.personal_financial_management_configuration_menu,Configuration,Nustatymai
model,"ir.ui.menu,name",personal_base.menu_action_account_entry_form_form,New Account Entry,Naujas sąskaitos įrašas
model,"ir.ui.menu,name",personal_base.menu_action_account_entries_list,Account Entries,Sąskaitų įrašai
model,"ir.ui.menu,name",personal_base.menu_action_confirmed_account_entries_list,Confirmed Account Entries,Patvirtinti sąskaitų įrašai
model,"ir.ui.menu,name",personal_base.menu_action_draft_account_entries_list,Draft Account Entries,Sąskaitų įrašų juodraščiai
model,"ir.ui.menu,name",personal_base.menu_action_confirmed_account_lineslist,Confirmed Account Lines,Patvirtintos sąskaitų eilutės
model,"ir.ui.menu,name",personal_base.menu_action_account_form,Accounts Definition,Sąskaitų apibrėžimai
