type,name,res_id,src,value
field,"radiotv.broadcast,description",0,Description,Descripción
field,"radiotv.broadcast,dt_end",0,End,Fin
field,"radiotv.broadcast,dt_start",0,Start,Inicio
field,"radiotv.broadcast,program_id",0,Program,Programa
field,"radiotv.broadcast,channel_id",0,Channel,Canal
field,"radiotv.broadcast,url",0,URL,URL
field,"radiotv.category,program_ids",0,Programs,Programas
field,"radiotv.category,name",0,Name,Nombre
field,"radiotv.category,description",0,Description,Descripción
field,"radiotv.channel,program_ids",0,Programs,Programas
field,"radiotv.channel,name",0,Name,Nombre
field,"radiotv.channel,description",0,Description,Descripción
field,"radiotv.program,production_year",0,Production year,Año de producción
field,"radiotv.program,name",0,Name,Nombre
field,"radiotv.program,classification",0,Classification,Clasificación
field,"radiotv.program,introduction",0,Introduction,Introducción
field,"radiotv.program,channel_ids",0,Channels,Canales
field,"radiotv.program,production_country_id",0,Production country,País de producción
field,"radiotv.program,approx_duration",0,Approx. duration,Duración aprox.
help,"radiotv.program,approx_duration",0,Approximate duration in minutes,Duración aproximada en minutos
field,"radiotv.program,broadcast_ids",0,Broadcasts,Emisiones
field,"radiotv.program,broadcast_language",0,Broadcast language,Idioma de emisión
field,"radiotv.program,original_language",0,Original language,Idioma original
field,"radiotv.program,state",0,State,Estado
field,"radiotv.program,production_type",0,Production type,Tipo de producción
field,"radiotv.program,editor",0,Editor,Editor
field,"radiotv.program,team",0,Team,Equipo
field,"radiotv.program,category_id",0,Category,Categoría
field,"radiotv.program,email",0,Email,Correo electrónico
field,"radiotv.program,description",0,Description,Descripción
field,"radiotv.web,url",0,URL,URL
field,"radiotv.web,active",0,Active,Activo
field,"radiotv.web,name",0,Name,Nombre
selection,"radiotv.program,classification",0,For everybody,Para todos
selection,"radiotv.program,classification",0,Especially recommended for the children,Especialmente recomendado para niños
selection,"radiotv.program,classification",0,Not recommended for minors of 7,No recomendado para menores de 7 años
selection,"radiotv.program,classification",0,Not recommended for minors of 13,No recomendado para menores de 13 años
selection,"radiotv.program,classification",0,Not recommended for minors of 18,No recomendado para menores de 18 años
selection,"radiotv.program,state",0,Archive,Archivado
selection,"radiotv.program,state",0,Unpublish,Despublicado
selection,"radiotv.program,state",0,Publish,Publicado
selection,"radiotv.program,production_type",0,Own,Propia
selection,"radiotv.program,production_type",0,Foreign,Externa
rml,radiotv.broadcast.report,0,RadioTV broadcasts,Emisiones de Radio TV
rml,radiotv.broadcast.report,0,Day,Día
rml,radiotv.broadcast.report,0,Start,Inicio
rml,radiotv.broadcast.report,0,End,Fin
rml,radiotv.broadcast.report,0,Channel,Canal
rml,radiotv.broadcast.report,0,Program,Programa
rml,radiotv.broadcast.report,0,Description,Descripción
rml,radiotv.broadcast.report,0,URL,URL
rml,radiotv.broadcast.compact.report,0,RadioTV broadcasts:,Emisiones de Radio TV:
rml,radiotv.broadcast.compact.report,0,/,
rml,radiotv.broadcast.compact.report,0,morning,Mañana
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,morning,Mañana
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,afternoon,Tarde
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,afternoon,Tarde
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,evening,Noche
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.compact.report,0,evening,Noche
rml,radiotv.broadcast.compact.report,0,.,
rml,radiotv.broadcast.declaration.report,0,Operator name:,Nombre del operador:
rml,radiotv.broadcast.declaration.report,0,Company name:,Nombre de la empresa:
rml,radiotv.broadcast.declaration.report,0,Period: From,Periodo: Desde
rml,radiotv.broadcast.declaration.report,0,to,hasta
rml,radiotv.broadcast.declaration.report,0,Program name,Nombre del programa
rml,radiotv.broadcast.declaration.report,0,Type,Tipo
rml,radiotv.broadcast.declaration.report,0,Editor,Editor
rml,radiotv.broadcast.declaration.report,0,Original language,Idioma original
rml,radiotv.broadcast.declaration.report,0,Broadcast language,Idioma de emisión 
rml,radiotv.broadcast.declaration.report,0,Production country,País de producción
rml,radiotv.broadcast.declaration.report,0,Production year,Año de producción
rml,radiotv.broadcast.declaration.report,0,Classification,Clasificación
rml,radiotv.broadcast.declaration.report,0,For everybody,Para todos
rml,radiotv.broadcast.declaration.report,0,Especially recommended for the children,Especialmente recomendado para niños
rml,radiotv.broadcast.declaration.report,0,Not recommended for minors of 7,No recomendado para menores de 7 años
rml,radiotv.broadcast.declaration.report,0,Not recommended for minors of 13,No recomendado para menores de 13 años
rml,radiotv.broadcast.declaration.report,0,Not recommended for minors of 18,No recomendado para menores de 18 años
rml,radiotv.broadcast.declaration.report,0,Production type,Tipo de producción
rml,radiotv.broadcast.declaration.report,0,Owner,Propia
rml,radiotv.broadcast.declaration.report,0,Foreign,Externa
rml,radiotv.broadcast.declaration.report,0,Approx. duration,Aprox. de la duración
rml,radiotv.broadcast.declaration.report,0,Broadcast days/hours:,Emisiones días/horas:
rml,radiotv.broadcast.declaration.report,0,-,
rml,radiotv.broadcast.declaration.report,0,-,
view,radiotv.channel,0,Channels,Canales
view,radiotv.channel,0,Channel,Canal
view,radiotv.channel,0,Programs,Programas
view,radiotv.channel,0,Programs,Programas
view,radiotv.program,0,Programs,Programas
view,radiotv.program,0,Program,Programa
view,radiotv.category,0,Categories,Categorías
view,radiotv.category,0,Category,Categoría
view,radiotv.category,0,Programs,Programas
view,radiotv.broadcast,0,Broadcasts,Emisiones
view,radiotv.broadcast,0,Broadcast,Emisión
view,radiotv.broadcast,0,Date/time,Día/hora
view,radiotv.web,0,Website,Sitio web
wizard_field,"radiotv.channel_program.export,init,category_delete",0,Deleted categories,Categorías eliminadas
wizard_field,"radiotv.channel_program.export,init,channel_delete",0,Deleted channels,Canales eliminados
wizard_field,"radiotv.channel_program.export,init,program_delete",0,Deleted programs,Programas eliminados
wizard_field,"radiotv.channel_program.export,init,channel_new",0,New channels,Canales nuevos
wizard_field,"radiotv.channel_program.export,init,category_new",0,New categories,Categorías nuevas
wizard_field,"radiotv.channel_program.export,init,program_new",0,New programs,Programas nuevos
wizard_field,"radiotv.channel_program.export,init,channel_update",0,Updated channels,Canales actualizados
wizard_field,"radiotv.channel_program.export,init,category_update",0,Updated categories,Categorías actualizadas
wizard_field,"radiotv.channel_program.export,init,program_update",0,Updated programs,Programas actualizados
wizard_view,"radiotv.channel_program.export,init",0,"Channels, programs and categories export",Exportación de canales
wizard_view,"radiotv.channel_program.export,init",0,Channels exported,Canales exportados
wizard_view,"radiotv.channel_program.export,init",0,Programs exported,Programas exportados
wizard_view,"radiotv.channel_program.export,init",0,Program categories exported,Categorías de programas exportadas
wizard_button,"radiotv.channel_program.export,init,end",0,End,Fin
wizard_field,"radiotv.broadcast.declaration.report,init,channel_id",0,Channel,Canal
wizard_field,"radiotv.broadcast.declaration.report,init,d_to",0,End,Fin
wizard_field,"radiotv.broadcast.declaration.report,init,d_from",0,Start,Inicio
wizard_view,"radiotv.broadcast.declaration.report,init",0,Select period,Periodo seleccionado
wizard_button,"radiotv.broadcast.declaration.report,init,end",0,Cancel,Cancelar
wizard_button,"radiotv.broadcast.declaration.report,init,report",0,Print,Imprimir
wizard_field,"radiotv.broadcast.export,init,d_to",0,To,Hasta
wizard_field,"radiotv.broadcast.export,init,d_from",0,From,Desde
wizard_view,"radiotv.broadcast.export,init",0,Export broadcasts,Exportar emisiones
wizard_button,"radiotv.broadcast.export,init,end",0,Cancel,Cancelar
wizard_button,"radiotv.broadcast.export,init,export",0,Export,Exportar
wizard_field,"radiotv.broadcast.export,export,broadcast_new",0,New broadcasts,Emisiones nuevas
wizard_field,"radiotv.broadcast.export,export,broadcast_delete",0,Deleted broadcasts,Emisiones eliminadas
